U2,Lambda,Force,RF2,,,,Lambda Crack,Crack Length,,,Time,U2,Lambda2,Force2,,,LambdaC2,Crack2
1.96335,1.39267,241.346,2.41E-01,,,9.80717,1.3922868,13,,,,,,,,,,
1.96354,1.392708,239.721,2.40E-01,,,9.82738,1.3930952,13,,,,,,,,,,
1.96358,1.392716,239.229,2.39E-01,,,9.82896,1.3931584,13,,,,,,,,,,
1.96363,1.392726,238.785,2.39E-01,,,9.83094,1.3932376,13,,,,,,,,,,
1.96369,1.392738,238.223,2.38E-01,,,9.83155,1.393262,13,,,,,,,,,,
1.96376,1.392752,237.5,2.38E-01,,,9.83232,1.3932928,13,,,,,,,,,,
1.96385,1.39277,236.571,2.37E-01,,,9.83329,1.3933316,13.05,,,,,,,,,,
1.96397,1.392794,235.399,2.35E-01,,,9.83449,1.3933796,13.05,,,,,,,,,,
1.964,1.3928,235.056,2.35E-01,,,9.836,1.39344,13.1,,,,,,,,,,
1.96403,1.392806,234.752,2.35E-01,,,9.83788,1.3935152,13.2,,,,,,,,,,
1.96406,1.392812,234.363,2.34E-01,,,9.83847,1.3935388,13.25,,,,,,,,,,
1.96411,1.392822,233.87,2.34E-01,,,9.8392,1.393568,13.3,,,,,,,,,,
1.96416,1.392832,233.251,2.33E-01,,,9.84012,1.3936048,13.4,,,,,,,,,,
1.96423,1.392846,232.451,2.32E-01,,,9.84127,1.3936508,13.5,,,,,,,,,,
1.96432,1.392864,231.457,2.31E-01,,,9.84271,1.3937084,13.65,,,,,,,,,,
1.96443,1.392886,230.232,2.30E-01,,,9.8445,1.39378,13.95,,,,,,,,,,
1.96454,1.392908,228.892,2.29E-01,,,9.84495,1.393798,14,,,,,,,,,,
1.96465,1.39293,227.498,2.27E-01,,,9.8454,1.393816,14.1,,,,,,,,,,
1.96468,1.392936,227.107,2.27E-01,,,9.84596,1.3938384,14.2,,,,,,,,,,
1.9647,1.39294,226.768,2.27E-01,,,9.84666,1.3938664,14.3,,,,,,,,,,
1.96474,1.392948,226.338,2.26E-01,,,9.84754,1.3939016,14.5,,,,,,,,,,
1.96478,1.392956,225.784,2.26E-01,,,9.84841,1.3939364,14.7,,,,,,,,,,
1.96483,1.392966,225.081,2.25E-01,,,9.84929,1.3939716,14.9,,,,,,,,,,
1.9649,1.39298,224.188,2.24E-01,,,9.84951,1.3939804,14.95,,,,,,,,,,
1.96498,1.392996,223.063,2.23E-01,,,9.84973,1.3939892,15,,,,,,,,,,
1.96507,1.393014,221.918,2.22E-01,,,9.85,1.394,15.1,,,,,,,,,,
1.96515,1.39303,220.743,2.21E-01,,,9.85035,1.394014,15.15,,,,,,,,,,
1.96523,1.393046,219.548,2.20E-01,,,9.85077,1.3940308,15.3,,,,,,,,,,
1.96532,1.393064,218.345,2.18E-01,,,9.85131,1.3940524,15.45,,,,,,,,,,
1.9654,1.39308,217.114,2.17E-01,,,9.85147,1.3940588,15.5,,,,,,,,,,
1.96549,1.393098,215.856,2.16E-01,,,9.85168,1.3940672,15.55,,,,,,,,,,
1.96557,1.393114,214.579,2.15E-01,,,9.85194,1.3940776,15.6,,,,,,,,,,
1.96559,1.393118,214.208,2.14E-01,,,9.85227,1.3940908,15.7,,,,,,,,,,
1.96561,1.393122,213.885,2.14E-01,,,9.85268,1.3941072,15.85,,,,,,,,,,
1.96564,1.393128,213.486,2.13E-01,,,9.85319,1.3941276,16,,,,,,,,,,
1.96567,1.393134,212.988,2.13E-01,,,9.8537,1.394148,16.15,,,,,,,,,,
1.96571,1.393142,212.355,2.12E-01,,,9.85421,1.3941684,16.3,,,,,,,,,,
1.96576,1.393152,211.535,2.12E-01,,,9.85472,1.3941888,16.45,,,,,,,,,,
1.96582,1.393164,210.485,2.10E-01,,,9.85523,1.3942092,16.65,,,,,,,,,,
1.96584,1.393168,210.12,2.10E-01,,,9.85574,1.3942296,16.8,,,,,,,,,,
1.96587,1.393174,209.724,2.10E-01,,,9.85587,1.3942348,16.85,,,,,,,,,,
1.9659,1.39318,209.241,2.09E-01,,,9.856,1.39424,16.9,,,,,,,,,,
1.96594,1.393188,208.634,2.09E-01,,,9.85616,1.3942464,16.95,,,,,,,,,,
1.96599,1.393198,207.853,2.08E-01,,,9.85635,1.394254,17.05,,,,,,,,,,
1.96605,1.39321,206.863,2.07E-01,,,9.8566,1.394264,17.1,,,,,,,,,,
1.96612,1.393224,205.619,2.06E-01,,,9.85692,1.3942768,17.25,,,,,,,,,,
1.96614,1.393228,205.254,2.05E-01,,,9.8573,1.394292,17.35,,,,,,,,,,
1.96616,1.393232,204.937,2.05E-01,,,9.85743,1.3942972,17.4,,,,,,,,,,
1.96619,1.393238,204.547,2.05E-01,,,9.85758,1.3943032,17.45,,,,,,,,,,
