B2D1 Dis,B2D1 Force,B1D2 Dis,B1D2 Force,B1D3 Dis,B1D3 Force
1.45837,161.0666,1.04405,20.4234,1.0436,25.0149
1.46038,160.945,1.04425,19.9099,1.04382,24.6182
1.46225,161.671,1.04443,19.9648,1.04403,23.749
1.46439,160.9729,1.04461,20.3861,1.04422,23.3635
1.46634,162.4055,1.04479,21.405,1.04441,23.6021
1.46828,162.2566,1.04496,22.2518,1.04459,24.2788
1.47036,161.4731,1.04514,22.7104,1.04476,24.7322
1.47232,162.798,1.04533,22.6648,1.04494,24.7758
1.47439,162.3676,1.04554,22.0967,1.04512,24.5787
1.47629,161.8671,1.04575,21.4482,1.04531,24.5826
1.47832,162.7568,1.04597,21.1055,1.04551,24.9176
1.48039,163.0379,1.04619,20.8035,1.04572,25.2385
1.48229,163.7874,1.04641,20.5856,1.04594,25.1198
1.48431,164.7258,1.04662,20.5136,1.04616,24.8701
1.48634,164.5843,1.04682,21.2605,1.04637,24.2525
1.48838,165.4388,1.04702,22.0155,1.04659,23.9793
1.49035,163.3245,1.04721,22.4117,1.04679,24.2328
1.49225,162.4706,1.0474,22.585,1.04699,24.8423
1.49438,160.9299,1.04759,22.5781,1.04718,24.8787
1.49633,161.5216,1.04777,22.4188,1.04737,24.5066
1.49831,161.2036,1.04796,21.7221,1.04755,24.7016
1.50033,162.5555,1.04816,21.3424,1.04774,25.4343
1.50231,162.5565,1.04837,21.2817,1.04792,25.8413
1.50443,163.6674,1.04857,21.4034,1.04812,25.8276
1.50625,164.6688,1.04878,21.495,1.04832,25.6042
1.50832,165.0825,1.04898,21.563,1.04852,25.2791
1.51041,166.6007,1.04919,21.8928,1.04873,24.7145
1.51229,166.113,1.04939,22.396,1.04894,24.4955
1.51436,167.8126,1.04959,22.9298,1.04915,24.6761
1.51633,167.9946,1.04979,23.3451,1.04935,25.3311
1.51838,167.7651,1.05,22.9052,1.04956,26.0417
1.52037,167.7115,1.0502,22.1794,1.04977,26.3509
1.52225,168.0068,1.0504,21.3286,1.04998,26.2088
1.52439,168.6692,1.0506,21.1436,1.05018,25.9416
1.52634,168.9993,1.05081,21.6252,1.05038,25.818
1.5283,169.6968,1.05102,22.5372,1.05059,25.705
1.53036,171.036,1.05123,23.2135,1.05079,25.3519
1.53233,171.5915,1.05145,23.2196,1.051,25.005
1.53439,171.3162,1.05166,22.7533,1.05121,24.8734
1.5363,172.9058,1.05185,22.4811,1.05142,25.0023
1.5383,172.6183,1.05204,22.1467,1.05163,25.572
1.54038,173.9436,1.05222,22.0801,1.05182,26.4555
1.54233,175.2911,1.0524,22.2628,1.05201,27.0916
1.54431,175.5736,1.05258,22.7319,1.05219,26.9069
1.54634,175.2491,1.05277,22.876,1.05237,26.2964
1.54838,176.6125,1.05296,22.4633,1.05256,25.9544
1.55032,177.0319,1.05316,22.3963,1.05274,25.6558
1.55226,177.3381,1.05336,22.9484,1.05293,25.5535
1.55437,177.6809,1.05356,23.4911,1.05313,25.9701
1.55631,176.795,1.05378,23.8092,1.05333,26.593
1.55833,178.7372,1.054,23.3592,1.05354,26.6299
1.56034,178.4231,1.05421,23.0963,1.05375,26.3189
1.56232,179.403,1.05443,22.7582,1.05396,26.3156
1.56444,179.6855,1.05464,22.6514,1.05418,26.6353
1.56627,181.4524,1.05483,22.5559,1.05439,26.9278
1.56833,181.9344,1.05503,22.516,1.05459,26.9683
1.5704,181.7843,1.05521,22.6438,1.05479,26.8218
1.57231,182.3597,1.05539,23.0466,1.05499,26.537
1.57437,183.2087,1.05558,23.6276,1.05517,26.081
1.57633,182.6415,1.05576,24.0697,1.05536,25.9181
1.57837,184.088,1.05595,24.0842,1.05554,26.4172
1.58035,184.3912,1.05616,24.0494,1.05573,26.9965
1.58226,184.503,1.05637,23.6381,1.05593,27.3971
1.58437,185.2076,1.0566,23.42,1.05613,27.5295
1.58635,184.6593,1.05683,23.0397,1.05635,27.5521
1.58829,184.372,1.05705,22.7379,1.05657,27.3089
1.59033,180.6615,1.05727,22.6742,1.0568,26.8093
1.59234,176.4294,1.05747,22.9153,1.05703,26.5664
1.59438,175.0911,1.05765,23.4515,1.05724,26.81
1.5963,173.8301,1.05783,24.1567,1.05745,27.1081
1.59831,173.3658,1.058,24.6219,1.05764,26.8865
1.60038,172.4787,1.05818,24.6195,1.05782,26.4384
1.60232,172.4229,1.05835,24.0965,1.05799,26.7092
1.60432,173.0125,1.05854,23.7852,1.05816,27.4712
1.60633,172.792,1.05872,23.6124,1.05833,28.0801
1.60838,173.6111,1.05892,23.3883,1.05851,28.128
1.61033,173.5359,1.05913,23.2933,1.05869,28.1933
1.61227,173.3402,1.05935,23.4236,1.05888,28.212
1.61438,172.8801,1.05957,24.1472,1.05909,27.8654
1.61631,164.1387,1.0598,24.5684,1.0593,27.1229
1.61834,156.4176,1.06002,24.8674,1.05953,26.7369
1.62032,146.9572,1.06024,24.9431,1.05976,27.0765
1.62232,143.5463,1.06045,24.7217,1.05998,27.5929
1.62444,134.5472,1.06065,24.0904,1.0602,27.879
1.62625,134.4549,1.06085,23.3649,1.06041,28.3192
1.62833,124.4329,1.06104,23.4726,1.06062,28.8099
1.63042,113.4441,1.06122,24.0007,1.06081,28.753
1.63229,112.8465,1.0614,24.3246,1.061,27.9111
1.63436,113.3127,1.06159,24.4054,1.06119,27.2997
1.63632,113.6756,1.06178,24.5639,1.06137,27.222
1.63839,112.6299,1.06198,25.13,1.06156,27.4951
1.64037,111.8588,1.06219,25.2639,1.06175,27.8418
1.64229,111.9022,1.0624,25.1171,1.06195,28.3578
1.64433,110.5997,1.06261,24.8423,1.06216,28.77
1.64635,111.364,1.06282,24.5743,1.06237,28.8357
1.64831,110.8943,1.06302,24.3331,1.06259,28.4413
1.65035,109.8247,1.06322,24.1327,1.0628,28.5358
1.65234,111.1687,1.06341,24.097,1.063,28.972
1.6544,110.3253,1.06361,24.48,1.0632,29.2727
1.65632,110.9436,1.0638,24.8057,1.0634,28.608
1.65831,107.3893,1.06399,25.3313,1.06359,27.5741
1.66039,86.6465,1.06418,25.6493,1.06378,27.2405
1.66234,78.063,1.06438,26.114,1.06396,27.8677
1.66431,78.201,1.06459,25.7269,1.06416,28.8168
1.66634,77.6504,1.0648,24.961,1.06435,29.5347
1.6684,77.6106,1.065,24.4706,1.06455,30.0132
1.67032,76.3879,1.06521,24.5205,1.06476,30.05
1.67226,76.2129,1.06541,24.6867,1.06497,29.2809
1.67431,73.2781,1.06561,24.8773,1.06517,28.2758
1.67629,54.9241,1.06581,25.119,1.06537,27.9757
1.67832,40.3853,1.06601,25.5365,1.06557,28.4801
1.68031,37.1018,1.06621,25.566,1.06577,29.0134
1.68234,36.3826,1.06641,25.7462,1.06597,29.0706
1.68442,36.1744,1.06661,25.8215,1.06617,28.8704
1.68627,35.4523,1.0668,25.9946,1.06637,28.9628
1.68834,35.3391,1.06701,25.9215,1.06657,29.2307
1.6904,34.9018,1.06722,25.4615,1.06676,29.8246
1.6923,33.0221,1.06744,25.147,1.06697,30.2098
1.69437,34.1334,1.06766,25.0368,1.06718,30.4954
1.69633,31.881,1.06788,24.9147,1.0674,30.151
1.69838,26.6021,1.06808,25.1134,1.06763,29.2795
1.70037,9.4647,1.06827,25.6227,1.06785,28.3171
1.70225,8.0367,1.06844,26.4708,1.06806,28.2942
1.70438,7.3253,1.06861,26.7947,1.06825,29.104
1.70636,7.0575,1.06878,26.7053,1.06843,29.8387
1.70829,7.4609,1.06896,26.4094,1.06861,30.3304
1.71034,7.6816,1.06915,26.0433,1.06878,30.6377
1.71233,6.3576,1.06934,25.7405,1.06895,30.4653
1.71438,6.4327,1.06954,25.4459,1.06913,29.9298
1.71629,7.3526,1.06975,25.5169,1.06932,29.4679
1.71832,5.976,1.06997,26.0279,1.06951,29.6936
1.72038,7.3895,1.07019,26.4608,1.06971,29.989
1.72233,6.4725,1.07041,26.6999,1.06993,30.0044
1.7243,7.0202,1.07063,26.617,1.07015,29.9848
1.72634,7.2247,1.07085,26.6032,1.07037,30.0646
1.7284,7.197,1.07105,26.5935,1.0706,30.0627
1.73032,7.4854,1.07124,26.4335,1.07081,29.9203
1.73226,8.382,1.07142,26.2236,1.07102,30.2285
1.73437,7.7094,1.0716,25.7656,1.07122,30.8985
1.73632,7.8192,1.07177,25.6403,1.07141,30.9918
1.73833,7.8288,1.07195,26.0709,1.07158,30.5183
